LotArea,SalePrice,ClusterID,LotArea_center,SalePrice_center,LotArea_sq_diff,SalePrice_sq_diff,Total_sq_diff
8450,208500,0,11707.3,200608.6,10610003.289999995,62274193.95999991,72884197.24999991
9600,181500,0,11707.3,200608.6,4440713.289999997,365138593.9600002,369579307.25000024
11250,223500,0,11707.3,200608.6,209123.28999999934,524016193.95999974,524225317.24999976
9550,140000,2,8714.51724137931,129331.03448275862,698031.4399524385,113826825.20808555,114524856.64803798
14260,250000,1,11484.363636363636,293200.0,7704157.223140498,1866240000.0,1873944157.2231405
14115,143000,2,8714.51724137931,129331.03448275862,29165214.02615934,186840618.3115338,216005832.33769315
10084,307000,1,11484.363636363636,293200.0,1961018.314049586,190440000.0,192401018.31404957
10382,200000,0,11707.3,200608.6,1756420.089999998,370393.96000000706,2126814.050000005
6120,129900,2,8714.51724137931,129331.03448275862,6731519.715814504,323721.75980974745,7055241.475624251
7420,118000,2,8714.51724137931,129331.03448275862,1675774.8882282982,128392342.44946498,130068117.33769327
11200,129500,2,8714.51724137931,129331.03448275862,6177624.543400716,28549.346016646003,6206173.889417362
11924,345000,1,11484.363636363636,293200.0,193280.13223140524,2683240000.0,2683433280.132231
12968,144000,2,8714.51724137931,129331.03448275862,18092115.57788348,215178549.3460166,233270664.92390007
10652,279500,1,11484.363636363636,293200.0,692829.2231404954,187690000.0,188382829.2231405
10920,157000,2,8714.51724137931,129331.03448275862,4864154.19857313,765571652.7942923,770435806.9928654
6120,132000,2,8714.51724137931,129331.03448275862,6731519.715814504,7123376.93222353,13854896.648038033
11241,149000,2,8714.51724137931,129331.03448275862,6383115.129607613,386868204.51843035,393251319.64803797
10791,90000,2,8714.51724137931,129331.03448275862,4311780.6468489915,1546930273.483948,1551242054.130797
13695,159000,2,8714.51724137931,129331.03448275862,24805208.50891796,880247514.8632579,905052723.3721758
7560,139000,2,8714.51724137931,129331.03448275862,1332910.0606420916,93488894.1736028,94821804.2342449
14215,325300,1,11484.363636363636,293200.0,7456374.950413225,1030410000.0,1037866374.9504132
7449,139400,2,8714.51724137931,129331.03448275862,1601533.8882282982,101384066.5873959,102985600.4756242
9742,230000,0,11707.3,200608.6,3862404.089999997,863854393.9599997,867716798.0499997
4224,129900,2,8714.51724137931,129331.03448275862,20164745.095124844,323721.75980974745,20488466.85493459
8246,154000,2,8714.51724137931,129331.03448275862,219508.40546967843,608557859.690844,608777368.0963137
14230,256300,1,11484.363636363636,293200.0,7538519.041322316,1361610000.0,1369148519.0413222
7200,134800,2,8714.51724137931,129331.03448275862,2293762.4744351944,29909583.82877524,32203346.303210434
11478,306000,1,11484.363636363636,293200.0,40.495867768590834,163840000.0,163840040.49586776
16321,207500,0,11707.3,200608.6,21286227.690000005,47491393.95999992,68777621.64999992
6324,68500,2,8714.51724137931,129331.03448275862,5714572.681331745,3700414756.2425685,3706129328.9239
8500,40000,2,8714.51724137931,129331.03448275862,46017.646848989054,7980033721.75981,7980079739.406659
8544,149350,2,8714.51724137931,129331.03448275862,29076.129607609797,400758980.3804993,400788056.5101069
11049,179900,0,11707.3,200608.6,433358.889999999,428846113.9600002,429279472.8500002
10552,165500,0,11707.3,200608.6,1334718.0899999982,1232613793.9600005,1233948512.0500004
7313,277500,1,11484.363636363636,293200.0,17400274.586776856,246490000.0,263890274.58677685
13418,309000,1,11484.363636363636,293200.0,3738949.586776861,249640000.0,253378949.58677685
10859,145000,2,8714.51724137931,129331.03448275862,4598806.302021406,245516480.38049933,250115286.68252075
8532,153000,2,8714.51724137931,129331.03448275862,33312.54340071323,560219928.6563613,560253241.1997621
7922,109000,2,8714.51724137931,129331.03448275862,628083.5778834712,413350963.1391202,413979046.7170037
6040,82000,2,8714.51724137931,129331.03448275862,7153042.474435193,2240226825.208086,2247379867.6825213
8658,160000,2,8714.51724137931,129331.03448275862,3194.1985731271657,940585445.8977406,940588640.0963137
16905,170000,0,11707.3,200608.6,27016085.290000007,936886393.9600004,963902479.2500004
9180,144000,2,8714.51724137931,129331.03448275862,216674.19857312777,215178549.3460166,215395223.54458973
9200,130250,2,8714.51724137931,129331.03448275862,235693.50891795536,844497.6218787112,1080191.1307966665
7945,141000,2,8714.51724137931,129331.03448275862,592156.7847800229,136164756.2425683,136756913.02734834
7658,319900,1,11484.363636363636,293200.0,14641058.677685948,712890000.0,727531058.677686
12822,239686,0,11707.3,200608.6,1242556.0900000017,1527043190.7599995,1528285746.8499994
11096,249700,1,11484.363636363636,293200.0,150826.3140495865,1892250000.0,1892400826.3140495
4456,113000,2,8714.51724137931,129331.03448275862,18134969.09512485,266702687.2770512,284837656.37217605
7742,127000,2,8714.51724137931,129331.03448275862,945789.7847800227,5433721.759809762,6379511.544589785
